living,killed
25.2,23.9
26.9,23.2
26.6,22.6
25.6,22.5
25.7,19.3
25.9,23.5
27.3,23.4
25.1,19
30.3,21.7
25.6,20.2
26,26.7
24.6,21.7
25.6,21
25.3,23.9
23.5,24.6
24.5,21.6
23.3,25.3
26,25
23.9,25.2
27.3,15.2
25.4,22.9
25.5,21.4
21.4,23.9
23.8,17.2
25.5,15.5
19.2,22
20.7,22
19.2,23.1
25.5,20.7
20.5,
20.6,
24.9,
23.7,
23.4,
25.6,
26.6,
27.7,
25.7,
27,
26.5,
25,
19.7,
27.1,
23,
22.7,
25.8,
28.8,
23.5,
23.2,
25.3,
23.8,
25.1,
26.7,
27.1,
22.5,
25.5,
24.4,
25.6,
20.6,
25.5,
24.5,
23,
27.6,
27.3,
20.7,
26,
25.1,
19.9,
23.5,
24.8,
22.4,
24.7,
27.5,
21.5,
24,
22.4,
21.3,
25,
24.3,
24.5,
23.6,
21.1,
25.6,
26.1,
23.7,
24.2,
23.2,
26.5,
28.1,
24.1,
29.5,
24,
26.8,
25.8,
23.3,
22.4,
24.2,
26.1,
23.2,
21.7,
24.7,
21.4,
18.5,
23.2,
,
21.5,
29.1,
21.7,
23.5,
23,
20,
21.9,
27.4,
27.1,
23.1,
23.8,
26.5,
27,
26.4,
26.3,
20.6,
24.5,
22.8,
25.5,
25.3,
28,
20.8,
25.9,
24,
22.5,
26.3,
23.3,
24.5,
21.6,
23.6,
23,
22.4,
27.4,
25,
23.9,
28.2,
27.2,
13.1,
22.9,
26.6,
25.8,
26.3,
20.9,
25.6,
24.8,
19.2,
27.4,
24.2,
15.7,
17.7,
21.4,
